methodology,title,citations,accuracy,date,proceeding,metric
SJTU2,,2,0.73,2022-11-11,,NDS
PCIE,,294,0.73,2022-03-24,,NDS
DAA AVP,,132,0.73,2021-07-30,,NDS
LinK,LinK3D: Linear Keypoints Representation for 3D LiDAR Point Cloud,14731,0.73,2022-10-31,,NDS
FocalFormer3D-L,FocalFormer3D : Focusing on Hard Instance for 3D Object Detection,60,0.73,2023-08-08,,NDS
RLVNet,,0,0.73,2022-02-27,,NDS
ADS-FUSION,,2,0.73,2022-06-03,,NDS
SphereFormer,,147,0.73,2022-11-11,,NDS
MDRNet-L,,10,0.73,2022-09-27,,NDS
VPFusion,,6,0.73,2023-03-01,,NDS
MGTANet,MGTANet: Encoding Sequential LiDAR Points Using Long Short-Term Motion-Guided Temporal Attention for 3D Object Detection,22,0.73,2022-08-18,,NDS
DSVT,DSVT: Dynamic Sparse Voxel Transformer with Rotated Sets,115,0.73,2023-01-15,cvpr-2023-1,NDS
FBMNet (Ours),Multi-Modal 3D Object Detection by Box Matching,0,0.721,2023-05-12,,NDS
bevfusion-re,,引用情報が見つかりません,0.72,2022-08-24,,NDS
GTFS,,134,0.72,2022-04-01,,NDS
BEVFusion,BEVFusion: Multi-Task Multi-Sensor Fusion with Unified Bird's-Eye View Representation,893,0.72,2022-05-16,,NDS
TransFusion,TransFusion: Robust LiDAR-Camera Fusion for 3D Object Detection with Transformers,1169,0.72,2021-10-19,cvpr-2022-1,NDS
Leapmotor_huhaotian,,引用情報が見つかりません,0.72,2023-02-17,,NDS
MixFusion,,16,0.72,2022-09-21,,NDS
asdasdzz,,引用情報が見つかりません,0.72,2022-11-16,,NDS
smallrot_noflip,,引用情報が見つかりません,0.72,2022-11-03,,NDS
VirConv,,148,0.72,2023-01-25,,NDS
FusionPainting,FusionPainting: Multimodal Fusion with Adaptive Attention for 3D Object Detection,203,0.72,2021-05-08,,NDS
SJTU-VISION,,引用情報が見つかりません,0.72,2022-03-15,,NDS
q2rdasdsad1,,引用情報が見つかりません,0.72,2022-11-11,,NDS
VFF,,61,0.72,2021-11-13,,NDS
DCAN,,774,0.72,2021-07-15,,NDS
LidarMultiNet,"LidarMultiNet: Unifying LiDAR Semantic Segmentation, 3D Object Detection, and Panoptic Segmentation in a Single Multi-task Network",78,0.72,2022-07-22,,NDS
yangfan,,280,0.71,2022-11-15,,NDS
DS VinFast,,エラー,0.71,2022-10-21,,NDS
3D Dual-Fusion,3D Dual-Fusion: Dual-Domain Dual-Query Camera-LiDAR Fusion for 3D Object Detection,エラー,0.71,2022-10-18,,NDS
spacvpr1,,引用情報が見つかりません,0.71,2022-11-10,,NDS
Chaokang_Jiang,,エラー,0.71,2023-01-19,,NDS
Convoy,,エラー,0.71,2022-05-13,,NDS
UVTR-Multimodality,,エラー,0.71,2022-05-16,,NDS
MoCa (MMDet3D),,エラー,0.71,2020-12-09,,NDS
wilfred zaha,,0,0.71,2022-10-12,,NDS
picolo,,エラー,0.71,2022-09-26,,NDS
SJTU_VVISION,,エラー,0.71,2022-06-07,,NDS
test4444,,エラー,0.71,2022-12-22,,NDS
9541,,エラー,0.71,2022-12-14,,NDS
SJTU AI Institute and Noah CV Lab,,エラー,0.71,2020-11-12,,NDS
CenterPoint,Center-based 3D Object Detection and Tracking,1904,0.71,2020-12-08,cvpr-2021-1,NDS
Damo,,エラー,0.71,2021-09-30,,NDS
MVP,Multimodal Virtual Point 3D Detection,エラー,0.71,2021-05-27,neurips-2021-12,NDS
MTA-Net,,エラー,0.71,2022-03-07,,NDS
PillarNet-34,,93,0.71,2022-03-04,,NDS
AutoAlign,AutoAlign: Pixel-Instance Feature Aggregation for Multi-Modal 3D Object Detection,126,0.71,2022-01-09,,NDS
HongdaChang,,エラー,0.71,2023-01-13,,NDS
ARNet,,エラー,0.71,2021-10-28,,NDS
TransFusion-L,,279,0.7,2021-08-31,,NDS
HanyangSpa,,エラー,0.7,2022-08-04,,NDS
SPV-SSD,,エラー,0.7,2022-12-17,,NDS
Noah CV Lab & Octopus 2,,エラー,0.7,2020-09-01,,NDS
epoch_40_s0.1,,エラー,0.7,2022-09-22,,NDS
TransFusion_fading_yqwang,,エラー,0.7,2022-10-21,,NDS
PVC_ensemble,,エラー,0.7,2020-12-09,,NDS
pcd_lidar_99,,エラー,0.7,2022-09-13,,NDS
D-Align_CP,,エラー,0.7,2022-09-18,,NDS
DWS-large,,エラー,0.7,2023-01-24,,NDS
VISTA,VISTA: Boosting 3D Object Detection via Dual Cross-VIew SpaTial Attention,エラー,0.7,2022-03-17,cvpr-2022-1,NDS
test_1111,,エラー,0.7,2022-05-20,,NDS
Centerpoint+SA-FPN,,エラー,0.7,2021-05-26,,NDS
Noah CV Lab & Octopus,,エラー,0.69,2020-05-28,,NDS
Center+R-CNN,,エラー,0.69,2022-08-06,,NDS
Fast-CLOCs,,エラー,0.69,2021-06-07,,NDS
S2M2-SSD,,エラー,0.69,2021-10-09,,NDS
CenterPoint + CBMOT,,エラー,0.69,2020-09-17,,NDS
JasonChen,,エラー,0.69,2022-05-23,,NDS
RAANet,,エラー,0.69,2022-06-13,,NDS
AFDetV2,,エラー,0.68,2021-12-06,,NDS
AOP-Net,AOP-Net: All-in-One Perception Network for Joint LiDAR-based 3D Object Detection and Panoptic Segmentation,エラー,0.68,2022-03-14,,NDS
Centerpoint+LiDAR-Mixup,,エラー,0.68,2022-05-24,,NDS
DWS-medium,,エラー,0.68,2023-02-27,,NDS
Revise_CenterPoint,,エラー,0.68,2021-08-26,,NDS
HVDetFusion,HVDetFusion: A Simple and Robust Camera-Radar Fusion Framework,エラー,0.674,2023-07-21,,NDS
SpaRC,SpaRC: Sparse Radar-Camera Fusion for 3D Object Detection,エラー,0.671,2024-11-29,,NDS
Jck,,エラー,0.67,2023-01-15,,NDS
CenterPoint-Single,,エラー,0.67,2020-06-16,,NDS
epoch_39_s0.3,,エラー,0.67,2022-09-22,,NDS
centerpoints,,エラー,0.67,2021-11-03,,NDS
VideoBEV,,エラー,0.67,2023-02-07,,NDS
JianhuiLiu,,エラー,0.67,2022-05-17,,NDS
Don-6,,エラー,0.67,2022-03-30,,NDS
demar-ctpt-20,,エラー,0.67,2022-04-01,,NDS
fliptta-demo,,エラー,0.67,2022-03-06,,NDS
ground-ctpt,,エラー,0.67,2022-03-04,,NDS
BEVDepthFormer,,エラー,0.66,2023-01-31,,NDS
Sotirios,,エラー,0.66,2022-10-26,,NDS
tarane,,エラー,0.66,2022-10-27,,NDS
BEVDet-dev2.0,,エラー,0.66,2022-12-21,,NDS
HotSpotNet-0.1m,,エラー,0.66,2020-07-16,,NDS
subProcess,,エラー,0.66,2021-09-30,,NDS
3D-CVF_v2,,エラー,0.66,2021-06-07,,NDS
FMF-VoxelNet,,エラー,0.66,2021-03-15,,NDS
CyliNet-RG single,,エラー,0.66,2020-11-16,,NDS
CenterPP-Large,,エラー,0.66,2020-11-07,,NDS
epoch_40_s0.4,,エラー,0.66,2022-09-22,,NDS
rewq,,エラー,0.66,2022-09-22,,NDS
LRCF360-Single,,エラー,0.65,2021-04-02,,NDS
BEVFormer v2 Opt,,エラー,0.65,2022-12-08,,NDS
FIFA3D,,エラー,0.65,2022-11-07,,NDS
qichuangeng,,エラー,0.64,2023-01-30,,NDS
HyDRa,"Unleashing HyDRa: Hybrid Fusion, Depth Consistency and Radar for Unified 3D Perception",エラー,0.64,2024-03-12,,NDS
DWS-pillar,,エラー,0.64,2023-02-11,,NDS
PatternFormer,,エラー,0.64,2022-12-30,,NDS
CVCNet-Single,,エラー,0.64,2020-10-03,,NDS
Baidu_vis_3d,,エラー,0.63,2023-03-01,,NDS
StreamPETR-Base,,エラー,0.63,2023-01-25,,NDS
VideoBEV-Base,,エラー,0.63,2023-02-01,,NDS
BevDepth++,,エラー,0.63,2022-07-09,,NDS
CVFNet,CVFNet: Real-time 3D Object Detection by Learning Cross View Features,エラー,0.63,2022-02-07,,NDS
stool,,エラー,0.63,2020-04-13,,NDS
DTIF,,エラー,0.63,2020-05-21,,NDS
centerpoint_pillars_gcn,,エラー,0.63,2022-09-15,,NDS
X-Ray CenterPoint-Voxel,Do You Remember . . . the Future? Weak-to-Strong generalization in 3D Object Detection,エラー,0.63,2023-12-15,ijcai-2024-8,NDS
CRIPAC,,エラー,0.63,2020-05-27,,NDS
MTV,,エラー,0.63,2019-06-07,,NDS
CRN,"CRN: Camera Radar Net for Accurate, Robust, Efficient 3D Perception",エラー,0.624,2023-04-03,iccv-2023-1,NDS
PolarStream-4-PCx1,,エラー,0.62,2021-05-22,,NDS
TiG-BEV,TiG-BEV: Multi-view BEV 3D Object Detection via Target Inner-Geometry Learning,エラー,0.62,2023-01-09,,NDS
BEVDepth-AeDet,,エラー,0.62,2022-11-18,,NDS
Inspur_DABNet4D-pure,,エラー,0.62,2022-10-20,,NDS
791914561,,エラー,0.62,2023-02-27,,NDS
SSN,SSN: Shape Signature Networks for Multi-class Object Detection from Point Clouds,エラー,0.62,2020-05-09,,NDS
Sy,Scene Understanding Networks for Autonomous Driving based on Around View Monitoring System,エラー,0.62,2022-06-24,,NDS
luuminhquan_openpcdet,,エラー,0.62,2021-04-12,,NDS
PE-RVCN,,エラー,0.62,2021-10-20,,NDS
Team_Simon,,エラー,0.62,2022-02-09,,NDS
DEPE,,エラー,0.61,2023-02-20,,NDS
yangfan293,,エラー,0.61,2022-12-21,,NDS
pointpainting,,エラー,0.61,2021-03-07,,NDS
BEVDepth-pure,,エラー,0.61,2022-06-23,,NDS
s22kdist21,,エラー,0.61,2022-11-19,,NDS
jinkkun,,エラー,0.61,2022-02-17,,NDS
SSL_CP_Flow,,エラー,0.61,2022-04-22,,NDS
HEU,,エラー,0.61,2021-04-15,,NDS
PiFeNet,,エラー,0.61,2021-11-30,,NDS
4DMVT-BEV,,エラー,0.6,2022-09-05,,NDS
obj_6,,エラー,0.6,2023-01-07,,NDS
swin-b-nuimage-2key,,エラー,0.6,2023-01-10,,NDS
obj_5,,エラー,0.6,2023-01-07,,NDS
KPRDepth,,エラー,0.6,2022-12-08,,NDS
liyinhao1234,,エラー,0.6,2022-08-26,,NDS
bevdepth,,エラー,0.6,2022-04-11,,NDS
CenterPoint_mmdet3D,,エラー,0.6,2022-05-24,,NDS
Brave,,エラー,0.59,2022-11-12,,NDS
4DMVT-RCNN,,エラー,0.59,2022-07-13,,NDS
Focal-PETRv2e,,エラー,0.59,2023-01-24,,NDS
PETRv2-pure,,エラー,0.59,2022-08-11,,NDS
Sparse4d_vovnet99,,エラー,0.59,2022-11-08,,NDS
obj_4,,エラー,0.59,2022-12-15,,NDS
obj_3,,エラー,0.59,2022-12-12,,NDS
ghkbkhjbjn,,エラー,0.59,2022-10-24,,NDS
zhanghdgeh,,エラー,0.59,2022-10-23,,NDS
BEVDistill,BEVDistill: Cross-Modal BEV Distillation for Multi-View 3D Object Detection,エラー,0.59,2022-09-07,,NDS
Reconfig PP v3,,エラー,0.59,2020-07-20,,NDS
ECARX_BEVNet,,エラー,0.59,2022-09-19,,NDS
PointPillars + DSA,,エラー,0.59,2021-02-07,,NDS
AGO-Net,AGO-Net: Association-Guided 3D Point Cloud Object Detection Network,エラー,0.59,2021-05-17,,NDS
ATME,,エラー,0.58,2021-10-31,,NDS
lgdnumber2,,エラー,0.58,2021-11-10,,NDS
Radiant,,エラー,0.58,2021-11-10,,NDS
ayil1e,,エラー,0.58,2022-08-14,,NDS
DC-Sym-Residual,,エラー,0.58,2022-10-22,,NDS
bevdepth,,エラー,0.58,2022-11-09,,NDS
Real4d,,エラー,0.58,2022-08-18,,NDS
PETR v2,,エラー,0.58,2022-06-01,,NDS
det22947,,エラー,0.58,2023-02-25,,NDS
ZongMu-CV,,エラー,0.58,2022-11-22,,NDS
Rover,,エラー,0.58,2022-08-28,,NDS
RadarFormer,,エラー,0.58,2022-08-29,,NDS
MV-BEVT,,エラー,0.58,2022-08-01,,NDS
DA-HydraFormer,,エラー,0.58,2022-07-01,,NDS
lyra,,エラー,0.58,2023-01-04,,NDS
Inspur-MASTER-v2,,エラー,0.58,2022-07-20,,NDS
DAMEN,,エラー,0.58,2022-08-16,,NDS
PointPainting,PointPainting: Sequential Fusion for 3D Object Detection,エラー,0.58,2019-11-15,cvpr-2020-6,NDS
Syn-Aug1,,エラー,0.58,2022-06-23,,NDS
HQUJIN,,エラー,0.58,2022-06-24,,NDS
OA-BEV,OA-BEV: Bringing Object Awareness to Bird's-Eye-View Representation for Multi-Camera 3D Object Detection,エラー,0.57,2022-10-10,,NDS
PolarFormer,PolarFormer: Multi-camera 3D Object Detection with Polar Transformer,エラー,0.57,2022-05-18,,NDS
VoxelFormer,VoxelFormer: Bird's-Eye-View Feature Generation based on Dual-view Attention for Multi-view 3D Object Detection,エラー,0.57,2023-01-14,,NDS
RCM_Fusion,,エラー,0.57,2023-02-17,,NDS
Yinhaoli,,エラー,0.57,2022-08-20,,NDS
VisionDP,,エラー,0.57,2022-07-25,,NDS
BEVFormer,BEVFormer: Learning Bird's-Eye-View Representation from Multi-Camera Images via Spatiotemporal Transformers,エラー,0.57,2022-03-31,,NDS
BEVFormer,BEVFormer: Learning Bird's-Eye-View Representation from Multi-Camera Images via Spatiotemporal Transformers,エラー,0.57,2022-03-10,,NDS
VisionGroup,,エラー,0.57,2022-08-06,,NDS
RC-BEVFusion,RC-BEVFusion: A Plug-In Module for Radar-Camera Bird's Eye View Feature Fusion,エラー,0.57,2023-01-25,,NDS
wangzehao,,エラー,0.57,2022-08-25,,NDS
SSN-v1,SSN: Shape Signature Networks for Multi-class Object Detection from Point Clouds,エラー,0.57,2019-09-15,eccv-2020-8,NDS
BEVDet4D,BEVDet4D: Exploit Temporal Cues in Multi-camera 3D Object Detection,エラー,0.57,2022-04-18,,NDS
ASCNet-1-5s,,エラー,0.57,2021-06-27,,NDS
BEVDet4D,BEVDet4D: Exploit Temporal Cues in Multi-camera 3D Object Detection,エラー,0.569,2022-03-31,,NDS
CLIP-BEVFormer,CLIP-BEVFormer: Enhancing Multi-View Image-Based BEV Detector with Ground Truth Flow,エラー,0.562,2024-06-17,cvpr-2024-1,NDS
boring_test_9,,エラー,0.56,2022-06-20,,NDS
TJU-IMMLab_CC,,エラー,0.56,2022-09-04,,NDS
ppyolo,,エラー,0.56,2022-08-29,,NDS
v-test,,エラー,0.55,2023-01-19,,NDS
dang,,エラー,0.55,2022-09-29,,NDS
llstm,,エラー,0.55,2020-04-03,,NDS
obj_1,,エラー,0.55,2022-11-28,,NDS
BEV_align_fpn,,エラー,0.55,2022-06-06,,NDS
RVFUSION,,エラー,0.55,2022-11-10,,NDS
X3KD,"X3KD: Knowledge Distillation Across Modalities, Tasks and Stages for Multi-Camera 3D Object Detection",エラー,0.55,2022-10-26,cvpr-2023-1,NDS
Star-Optimus,,エラー,0.55,2023-01-31,,NDS
joint,,エラー,0.55,2022-11-15,,NDS
CAM4D,,エラー,0.54,2022-06-02,,NDS
PolarFormer-pure,,エラー,0.54,2022-05-16,,NDS
auto5D,,エラー,0.54,2022-06-01,,NDS
DGroup,,エラー,0.54,2023-02-16,,NDS
ZMfusion,,エラー,0.54,2022-10-28,,NDS
BEVFormer-pure,,エラー,0.54,2022-03-12,,NDS
convnext,,エラー,0.54,2022-10-18,,NDS
Detr3d_RV,,エラー,0.54,2022-07-29,,NDS
AutoD,,エラー,0.53,2022-05-24,,NDS
Detr4d,,エラー,0.53,2022-09-02,,NDS
puppyboy,,エラー,0.53,2022-03-28,,NDS
CenterPoint-VID,,エラー,0.53,2019-11-03,,NDS
DETNT,,エラー,0.53,2022-06-28,,NDS
sina,,エラー,0.53,2022-03-27,,NDS
BEVerse,BEVerse: Unified Perception and Prediction in Birds-Eye-View for Vision-Centric Autonomous Driving,エラー,0.53,2022-05-15,,NDS
zongmu-CV,,エラー,0.52,2022-08-16,,NDS
xin.lu.2,,エラー,0.52,2022-05-30,,NDS
TransCAR,TransCAR: Transformer-based Camera-And-Radar Fusion for 3D Object Detection,エラー,0.52,2022-11-10,,NDS
Spirit of Optimus,,エラー,0.52,2022-12-19,,NDS
xixi,,エラー,0.52,2023-02-28,,NDS
yunzhu,,エラー,0.51,2022-08-15,,NDS
AD3D,,エラー,0.51,2022-05-12,,NDS
RightOrange,,エラー,0.51,2022-12-13,,NDS
gznyyb,,エラー,0.51,2022-09-05,,NDS
Reconfig PP,,エラー,0.51,2019-12-12,,NDS
PETR-e,,エラー,0.5,2022-03-08,,NDS
CascadeNet,,エラー,0.5,2022-06-04,,NDS
CFT-BEV3D,,エラー,0.5,2022-10-03,,NDS
Inspur-MASTER-3D,,エラー,0.5,2022-04-30,,NDS
Inspur-MASTER-3D,,エラー,0.5,2022-05-16,,NDS
FudanZVG-TPD-e,,エラー,0.49,2022-02-08,,NDS
TESTB3DTV,,エラー,0.49,2022-05-08,,NDS
Graph-DETR3D,Graph-DETR3D: Rethinking Overlapping Regions for Multi-View 3D Object Detection,エラー,0.49,2022-03-23,,NDS
PolarDETR,,エラー,0.49,2022-03-04,,NDS
EPro-PnP-Det v2,EPro-PnP: Generalized End-to-End Probabilistic Perspective-n-Points for Monocular Object Pose Estimation,エラー,0.49,2023-03-22,,NDS
ORA3D,ORA3D: Overlap Region Aware Multi-view 3D Object Detection,エラー,0.49,2022-05-29,,NDS
EPro-PnP-Det v2,,エラー,0.49,2022-08-30,,NDS
CFT-BEV3D,,エラー,0.49,2022-06-20,,NDS
RCBEV,RCBEVDet: Radar-camera Fusion in Bird's Eye View for 3D Object Detection,エラー,0.49,2022-08-22,cvpr-2024-1,NDS
ada-mmfusion,,エラー,0.49,2021-08-19,,NDS
RCF360,,エラー,0.49,2020-10-17,,NDS
DD3D,,エラー,0.48,2021-06-15,,NDS
BEVDet-Beta,,エラー,0.48,2022-03-02,,NDS
DETR3D,DETR3D: 3D Object Detection from Multi-view Images via 3D-to-2D Queries,エラー,0.48,2021-10-13,,NDS
mmfusion,,エラー,0.48,2021-08-13,,NDS
VBNET,,エラー,0.48,2019-06-13,,NDS
Wang Qitai,,エラー,0.47,2022-10-23,,NDS
ImmortalTracker,,エラー,0.47,2022-09-27,,NDS
M^2BEV_Det&Seg,,エラー,0.47,2022-02-25,,NDS
M^2BEV_Det,,エラー,0.47,2022-03-02,,NDS
wintercoconut,,エラー,0.47,2022-03-23,,NDS
BEV3D,,エラー,0.47,2022-01-13,,NDS
yy,,エラー,0.47,2021-09-07,,NDS
ufchaq72938,,エラー,0.47,2022-08-21,,NDS
PiCasso4D,,エラー,0.47,2022-11-10,,NDS
Daimler_RD_ASA-HD Frustum PointNet,,エラー,0.47,2020-02-25,,NDS
PETR_Radar_Fusion,,エラー,0.46,2022-07-09,,NDS
PegasusAI-B,,エラー,0.46,2022-02-27,,NDS
xin.lu,,エラー,0.46,2022-04-02,,NDS
SRCN3D,SRCN3D: Sparse R-CNN 3D for Compact Convolutional Multi-View 3D Object Detection and Tracking,エラー,0.46,2022-07-22,,NDS
MAOLoss,,エラー,0.46,2021-09-07,,NDS
Pinkie Pie,,エラー,0.46,2022-02-12,,NDS
MG,MGTANet: Encoding Sequential LiDAR Points Using Long Short-Term Motion-Guided Temporal Attention for 3D Object Detection,エラー,0.46,2022-06-08,,NDS
RepTrans,,エラー,0.46,2022-01-10,,NDS
L-G,,エラー,0.46,2022-10-29,,NDS
EPro-PnP-Det v1,EPro-PnP: Generalized End-to-End Probabilistic Perspective-n-Points for Monocular Object Pose Estimation,エラー,0.453,2022-03-24,cvpr-2022-1,NDS
FTM3D,,エラー,0.45,2022-12-15,,NDS
"PGD, Camera",,エラー,0.45,2021-07-24,,NDS
IPD3D,,エラー,0.45,2021-11-12,,NDS
PGD,Probabilistic and Geometric Depth: Detecting Objects in Perspective,エラー,0.45,2021-07-29,,NDS
Vidar,,エラー,0.45,2022-01-13,,NDS
CenterFusion,CenterFusion: Center-based Radar and Camera Fusion for 3D Object Detection,エラー,0.45,2020-09-28,,NDS
CenterFusion,CenterFusion: Center-based Radar and Camera Fusion for 3D Object Detection,エラー,0.449,2020-11-10,,NDS
PointPillars (ImageNet),nuScenes: A multimodal dataset for autonomous driving,エラー,0.449,2019-03-26,cvpr-2020-6,NDS
PointPillars (KITTI),nuScenes: A multimodal dataset for autonomous driving,エラー,0.448,2019-03-26,cvpr-2020-6,NDS
PointPillars,PointPillars: Fast Encoders for Object Detection from Point Clouds,エラー,0.442,2019-03-26,cvpr-2019-6,NDS
"M^2BEV, Camera",,エラー,0.44,2021-11-11,,NDS
FCOS3D-DSG,,エラー,0.44,2023-02-10,,NDS
tsu-mdf,,エラー,0.44,2021-12-14,,NDS
DHNet,,エラー,0.44,2021-05-24,,NDS
mincheol moon,,エラー,0.44,2023-03-01,,NDS
"MMDet3D, Camera",,エラー,0.43,2020-12-09,,NDS
cvprspa2,,エラー,0.43,2022-11-10,,NDS
FCOS3D,FCOS3D: Fully Convolutional One-Stage Monocular 3D Object Detection,エラー,0.428,2021-04-22,,NDS
PeaceLove,,エラー,0.42,2021-12-24,,NDS
Freespace,,エラー,0.42,2019-11-15,,NDS
Camera,Fusing Bird View LIDAR Point Cloud and Front View Camera Image for Deep Object Detection,エラー,0.42,2020-08-30,,NDS
Capstone team,,エラー,0.42,2023-02-05,,NDS
InfoFocus,InfoFocus: 3D Object Detection for Autonomous Driving with Dynamic Information Modeling,エラー,0.4,2020-07-16,eccv-2020-8,NDS
CenterNet,CenterNet3D: An Anchor Free Object Detector for Point Cloud,エラー,0.4,2019-11-11,,NDS
Henry,,エラー,0.39,2020-02-19,,NDS
SAIC ADC,,エラー,0.39,2021-11-07,,NDS
SparsePoint,,エラー,0.38,2020-10-30,,NDS
BirdNet+ (multisweep),,エラー,0.38,2021-06-16,,NDS
MonoDIS,,エラー,0.38,2019-06-11,,NDS
weareateam,,エラー,0.38,2022-03-25,,NDS
first,,エラー,0.38,2021-12-17,,NDS
LRM0,,エラー,0.37,2019-11-12,,NDS
yingfei,,エラー,0.36,2021-11-28,,NDS
QD-3DT,,エラー,0.36,2021-02-16,,NDS
VIPL_ICT,,エラー,0.35,2019-06-13,,NDS
RadarFusion,,エラー,0.34,2022-03-07,,NDS
atss3d,,エラー,0.34,2022-03-06,,NDS
atss-3d,,エラー,0.34,2022-03-07,,NDS
HZ,,エラー,0.33,2021-01-27,,NDS
553,,エラー,0.32,2019-06-12,,NDS
Peixuan,,エラー,0.27,2021-11-07,,NDS
camera_car,,エラー,0.25,2020-06-27,,NDS
DLLA-search,,エラー,0.23,2019-06-13,,NDS
MinkPoint,,エラー,0.21,2020-12-07,,NDS
SECOND + PointPillars,,エラー,0.18,2021-11-27,,NDS
PointNet,Frustum PointNets for 3D Object Detection from RGB-D Data,エラー,0.16,2019-06-13,cvpr-2018-6,NDS
Monodis reproduction with zip,,エラー,0.14,2020-08-26,,NDS
KPConvPillars,,エラー,0.14,2022-02-03,,NDS
YZ_2019,,エラー,0.13,2019-06-13,,NDS
WhiteWolf,,エラー,0.13,2019-06-13,,NDS
IAIR-Pioneer,,エラー,0.12,2019-06-13,,NDS
LGDnumber1,,エラー,0.08,2021-10-25,,NDS
JerryAI,,エラー,0.08,2021-06-18,,NDS
TeamDark,,エラー,0.08,2021-06-18,,NDS
YZ2019,,エラー,0.08,2019-06-12,,NDS
3D-GCK,,エラー,0.07,2020-01-23,,NDS
Team XD,,エラー,0.06,2021-06-18,,NDS
dawn,,エラー,0.04,2021-08-12,,NDS
mqdao,,エラー,0.04,2020-05-30,,NDS
Radar-PointGNN: Graph convolutions,,エラー,0.03,2020-09-23,,NDS
qww,,エラー,0.01,2022-04-10,,NDS
Only one,,エラー,0.0,2020-02-17,,NDS
MEGVII,Class-balanced Grouping and Sampling for Point Cloud 3D Object Detection,エラー,0.63.3,2019-08-26,,NDS
